id;nama_fasilitas;type;kec;latitude;longitude;layanan;jam;dokter;bidan;perawat;tempat_tidur;bpjs;status;akreditasi;wilayah_kerja;pemilik
1;RS Baghraf Health Care;rs;Batuan;-7.016514;113.8458928;Pelayanan Kesehatan Umum;24 Jam;9;10;25;226;Ya;aktif;Dasar;Rujukan Batuan;Perusahaan
2;RS Ibu dan Anak Esto Ebhu;rs;Kota Sumenep;-7.0148579;113.8626216;Pelayanan Kesehatan Umum;24 Jam;16;7;73;39;Ya;aktif;Dasar;Rujukan Kota Sumenep;Perseorangan
3;RSI Garam Kalianget;rs;Kalianget;-7.0469421;113.9300325;Pelayanan Kesehatan Umum;24 Jam;4;4;18;30;Ya;aktif;Dasar;Rujukan Kalianget;Organisasi Non Profit
5;RSU Sumekar Sumenep;rs;Kota Sumenep;-7.0289714;113.8645189;Pelayanan Kesehatan Umum;24 Jam;8;8;45;62;Ya;aktif;Madya;Rujukan Kota Sumenep;Perseorangan
6;RSUD Abuya Kangean;rs;Arjasa;-6.8355684;115.3197775;Pelayanan Kesehatan Umum;24 Jam;13;8;41;173;Ya;aktif;Madya;Rujukan Kabupaten;Pemda Kab./Kota
7;RSUD Dr. H. Moh. Anwar;rs;Kota Sumenep;-7.0151594;113.863561;Pelayanan Kesehatan Umum;24 Jam;22;14;156;191;Ya;aktif;Paripurna;Rujukan Kabupaten;Pemda Kab./Kota
8;Puskesmas Ambunten;puskesmas;Ambunten;-6.8923223;113.7418191;Pelayanan Kesehatan Umum;24 Jam;3;5;6;15;Ya;aktif;Madya;5 desa;Pemda Kab./Kota
9;Puskesmas Arjasa;puskesmas;Arjasa;-6.8598814;115.2853437;Pelayanan Kesehatan Umum;24 Jam;5;4;6;10;Ya;aktif;Utama;Wilayah Arjasa / Kepulauan;Pemda Kab./Kota
10;Puskesmas Batang Batang;puskesmas;Batang-Batang;-6.9472573;113.9986489;Pelayanan Kesehatan Umum;24 Jam;5;4;6;0;Ya;terbatas;Utama;8 desa;Pemda Kab./Kota
12;Puskesmas Batu Putih;puskesmas;Batuputih;-6.9157405;113.9214755;Pelayanan Kesehatan Umum;24 Jam;5;6;13;0;Ya;aktif;Dasar;7 desa;Pemda Kab./Kota
14;Puskesmas Batuan;puskesmas;Batuan;-7.0115965;113.8276829;Pelayanan Kesehatan Umum;24 Jam;4;4;12;20;Ya;terbatas;Dasar;8 desa;Pemda Kab./Kota
15;Puskesmas Bluto;puskesmas;Bluto;-7.1051559;113.8116095;Pelayanan Kesehatan Umum;24 Jam;5;8;12;10;Ya;aktif;Utama;8 desa;Pemda Kab./Kota
16;Puskesmas Dasuk;puskesmas;Dasuk;-6.8957508;113.8039391;Pelayanan Kesehatan Umum;24 Jam;2;10;8;0;Ya;renovasi;Dasar;7 desa;Pemda Kab./Kota
17;Puskesmas Dungkek;puskesmas;Dungkek;-6.9768736;114.0939854;Pelayanan Kesehatan Umum;24 Jam;4;5;11;10;Ya;terbatas;Utama;4 desa;Pemda Kab./Kota
18;Puskesmas Ganding;puskesmas;Ganding;-7.0407857;113.690088;Pelayanan Kesehatan Umum;24 Jam;5;4;13;15;Ya;aktif;Utama;6 desa;Pemda Kab./Kota
19;Puskesmas Gapura;puskesmas;Gapura;-6.9975501;113.9594157;Pelayanan Kesehatan Umum;24 Jam;4;4;9;20;Ya;aktif;Madya;4 desa;Pemda Kab./Kota
20;Puskesmas Gayam;puskesmas;Gayam;-7.1647698;114.3299525;Pelayanan Kesehatan Umum;24 Jam;4;4;11;5;Ya;aktif;Dasar;Wilayah Gayam / Kepulauan;Pemda Kab./Kota
21;Puskesmas Giligenting;puskesmas;Giligenting;-7.1905614;113.898019;Pelayanan Kesehatan Umum;24 Jam;2;9;10;15;Ya;aktif;Utama;Wilayah Giligenting / Kepulauan;Pemda Kab./Kota
23;Puskesmas Guluk-guluk;puskesmas;Guluk-Guluk;-7.0555957;113.6741635;Pelayanan Kesehatan Umum;24 Jam;5;7;13;0;Ya;aktif;Madya;5 desa;Pemda Kab./Kota
24;Puskesmas Kalianget;puskesmas;Kalianget;-7.0389739;113.9001919;Pelayanan Kesehatan Umum;24 Jam;3;7;9;0;Ya;aktif;Dasar;7 desa;Pemda Kab./Kota
25;Puskesmas Kangayan;puskesmas;Kangayan;-6.9184091;115.5595943;Pelayanan Kesehatan Umum;24 Jam;4;9;10;15;Ya;aktif;Utama;Wilayah Kangayan / Kepulauan;Pemda Kab./Kota
26;Puskesmas Legung Timur;puskesmas;Batang-Batang;-6.9152305;114.0370979;Pelayanan Kesehatan Umum;24 Jam;5;4;7;20;Ya;aktif;Madya;5 desa;Pemda Kab./Kota
27;Puskesmas Lenteng;puskesmas;Lenteng;-7.0314294;113.780332;Pelayanan Kesehatan Umum;24 Jam;4;9;7;0;Ya;aktif;Dasar;6 desa;Pemda Kab./Kota
28;Puskesmas Manding;puskesmas;Manding;-6.9599117;113.8693918;Pelayanan Kesehatan Umum;24 Jam;2;10;14;15;Ya;aktif;Madya;6 desa;Pemda Kab./Kota
30;Puskesmas Masalembu;puskesmas;Masalembu;-5.5720422;114.4225087;Pelayanan Kesehatan Umum;24 Jam;2;10;14;10;Ya;aktif;Dasar;Wilayah Masalembu / Kepulauan;Pemda Kab./Kota
31;Puskesmas Moncek Tengah;puskesmas;Lenteng;-7.0677699;113.7450339;Pelayanan Kesehatan Umum;24 Jam;4;4;8;15;Ya;aktif;Madya;7 desa;Pemda Kab./Kota
32;Puskesmas Nonggunong;puskesmas;Nonggunong;-7.080023;114.2792413;Pelayanan Kesehatan Umum;24 Jam;3;6;9;0;Ya;aktif;Utama;Wilayah Nonggunong / Kepulauan;Pemda Kab./Kota
33;Puskesmas Pagerunan Besar;puskesmas;Sapeken;-6.95894;115.907798;Pelayanan Kesehatan Umum;24 Jam;2;10;14;15;Ya;aktif;Utama;Wilayah Sapeken / Kepulauan;Pemda Kab./Kota
34;Puskesmas Pamolokan;puskesmas;Kota Sumenep;-7.0017102;113.8703854;Pelayanan Kesehatan Umum;24 Jam;3;7;10;0;Ya;aktif;Madya;8 desa;Pemda Kab./Kota
35;Puskesmas Pandian;puskesmas;Kota Sumenep;-7.0047422;113.8519021;Pelayanan Kesehatan Umum;24 Jam;4;8;12;10;Ya;aktif;Paripurna;7 desa;Pemda Kab./Kota
36;Puskesmas Pasongsongan;puskesmas;Pasongsongan;-6.8864494;113.6632244;Pelayanan Kesehatan Umum;24 Jam;4;5;10;15;Ya;aktif;Dasar;6 desa;Pemda Kab./Kota
37;Puskesmas Pragaan;puskesmas;Pragaan;-7.1106748;113.6612329;Pelayanan Kesehatan Umum;24 Jam;3;8;11;20;Ya;aktif;Madya;4 desa;Pemda Kab./Kota
38;Puskesmas Raas;puskesmas;Raas;-7.1528891;114.6145265;Pelayanan Kesehatan Umum;24 Jam;3;10;15;15;Ya;aktif;Dasar;Wilayah Raas / Kepulauan;Pemda Kab./Kota
39;Puskesmas Rubaru;puskesmas;Rubaru;-6.958175;113.7531156;Pelayanan Kesehatan Umum;24 Jam;2;9;8;15;Ya;aktif;Utama;7 desa;Pemda Kab./Kota
40;Puskesmas Sapeken;puskesmas;Sapeken;-7.0035692;115.7070925;Pelayanan Kesehatan Umum;24 Jam;2;6;13;15;Ya;terbatas;Dasar;Wilayah Sapeken / Kepulauan;Pemda Kab./Kota
41;Puskesmas Saronggi;puskesmas;Saronggi;-7.0817627;113.8287173;Pelayanan Kesehatan Umum;24 Jam;5;10;6;5;Ya;aktif;Utama;6 desa;Pemda Kab./Kota
